"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0005381",1.17423335922201e-08,75.5823798627002,0.404330668825255,7,9,"iron ion transmembrane transporter activity"
"2","GO:0005215",9.01454087031845e-06,2.0478208496635,28.7074774865931,53,639,"transporter activity"
"3","GO:0046873",1.43817921419634e-05,5.85626772546795,2.32387515200649,11,52,"metal ion transmembrane transporter activity"
"4","GO:0004089",4.33211561506021e-05,12.9164383561644,0.718810077911565,6,16,"carbonate dehydratase activity"
"5","GO:0008324",6.53571740800858e-05,2.8609312365094,8.17646463624406,21,182,"cation transmembrane transporter activity"
"6","GO:0004097",8.47502672768596e-05,4.67635737897931,2.78538905190732,11,62,"catechol oxidase activity"
"7","GO:0005507",0.000142926009983301,7.54382151029748,1.21299200647577,7,27,"copper ion binding"
"8","GO:0016835",0.000229087291220211,4.10890340049375,3.09986846099363,11,69,"carbon-oxygen lyase activity"
"9","GO:0003777",0.000245357993808003,3.77214170692432,3.6389760194273,12,81,"microtubule motor activity"
"10","GO:0015318",0.000249770816457308,2.44784347263314,10.2890625,23,231,"inorganic molecular entity transmembrane transporter activity"
"11","GO:0016679",0.000336293572100315,3.90557679930337,3.23464535060204,11,72,"oxidoreductase activity, acting on diphenols and related substances as donors"
"12","GO:0008017",0.00148177732709202,3.42915660888011,3.27957098047152,10,73,"microtubule binding"
"13","GO:0022804",0.00173717027428064,2.27385908209438,9.03005160376404,19,201,"active transmembrane transporter activity"
"14","GO:0004970",0.00201397025219353,Inf,0.0898512597389457,2,2,"ionotropic glutamate receptor activity"
"15","GO:0004747",0.00201397025219353,Inf,0.0898512597389457,2,2,"ribokinase activity"
"16","GO:0005230",0.00201397025219353,Inf,0.0898512597389457,2,2,"extracellular ligand-gated ion channel activity"
"17","GO:0003883",0.00201397025219353,Inf,0.0898512597389457,2,2,"CTP synthase activity"
"18","GO:0004648",0.00201397025219353,Inf,0.0898512597389457,2,2,"O-phospho-L-serine:2-oxoglutarate aminotransferase activity"
"19","GO:0022835",0.00201397025219353,Inf,0.0898512597389457,2,2,"transmitter-gated channel activity"
"20","GO:0016705",0.00328990516286424,2.18585254544024,8.85034908428615,18,197,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"21","GO:0020037",0.00346330456135849,1.79634909321296,17.7905494283112,30,396,"heme binding"
"22","GO:0005506",0.00475926532188631,2.10199909132213,9.16482849337246,18,204,"iron ion binding"
"23","GO:0008176",0.00586173165497761,42.7058823529412,0.134776889608418,2,3,"tRNA (guanine-N7-)-methyltransferase activity"
"24","GO:0004108",0.00586173165497761,42.7058823529412,0.134776889608418,2,3,"citrate (Si)-synthase activity"
"25","GO:0005315",0.00636357667542124,4.87523296748809,1.21299200647577,5,27,"inorganic phosphate transmembrane transporter activity"
"26","GO:0003824",0.0101493469437668,1.26061623800134,229.659819892745,254,5112,"catalytic activity"
"27","GO:0008963",0.0113751687176511,21.3506787330317,0.179702519477891,2,4,"phospho-N-acetylmuramoyl-pentapeptide-transferase activity"
"28","GO:0016887",0.0123762324216111,2.23251915708812,5.75048062329252,12,128,"ATP hydrolysis activity"
"29","GO:0008553",0.0154415070343205,4.75808080808081,0.988363857128402,4,22,"P-type proton-exporting transporter activity"
"30","GO:0008168",0.0168576054701715,1.82144267474003,10.4227461297177,18,232,"methyltransferase activity"
"31","GO:0008092",0.0171320188670623,2.31554432386899,4.6273398765557,10,103,"cytoskeletal protein binding"
"32","GO:0046982",0.02055765984962,2.73301435406699,2.78538905190732,7,62,"protein heterodimerization activity"
"33","GO:0016769",0.0209056174904036,4.28136363636364,1.07821511686735,4,24,"transferase activity, transferring nitrogenous groups"
"34","GO:0004888",0.0267826673106743,10.6730769230769,0.269553779216837,2,6,"transmembrane signaling receptor activity"
"35","GO:0022836",0.0273846172663989,5.34410430839002,0.673884448042092,3,15,"gated channel activity"
